slotA,slotB,size,payload_compared,payload_diff,payload_diff_ratio,equal_prefix
185,300,439,383,308,0.804178,32
50,345,439,383,312,0.814621,32
35,330,439,383,320,0.835509,32
285,355,439,383,347,0.906005,32
35,185,439,383,351,0.916449,32
185,330,439,383,359,0.937337,32
285,300,439,383,360,0.939948,32
125,130,439,383,361,0.942559,32
300,330,439,383,362,0.945170,32
225,410,439,383,362,0.945170,32
125,265,439,383,362,0.945170,32
330,355,439,383,364,0.950392,32
35,40,439,383,364,0.950392,32
50,225,439,383,364,0.950392,32
95,265,439,383,365,0.953003,32
35,345,439,383,366,0.955614,32
35,50,439,383,366,0.955614,32
300,310,439,383,366,0.955614,32
35,300,439,383,366,0.955614,32
300,355,439,383,366,0.955614,32
330,345,439,383,366,0.955614,32
50,185,439,383,367,0.958225,32
95,125,439,383,367,0.958225,32
225,345,439,383,367,0.958225,32
105,125,439,383,367,0.958225,32
95,130,439,383,368,0.960836,32
285,330,439,383,368,0.960836,32
185,545,439,383,368,0.960836,32
130,135,439,383,368,0.960836,32
40,225,439,383,368,0.960836,32
